review_id,user_id,business_id,stars,text,date,useful,richness_score
-TDAxzdIkWxxqiVgW9Xf1A,--2vR0DIsmQ6WfcSzKWigw,Jw-ENQw-OGGwpM3nA3ywqw,2.0,"Mit unseren British Airways Prämienpunkten konnten wir 3 Nächte im Best Western Plus Philadelphia Airport buchen. Das Hotel befindet sich in Chester und ist ca. 30 Minuten vom Philadelphia Zentrum entfernt.

Es liegt in der Nähe der Widener University in einer nicht so gepflegten Umgebung. Der Parkplatz liegt abseits vom Hotel und ist durch einen Durchgang zu erreichen. Im Gebäudekomplex befindet sich noch ein 7 Eleven, wo man sich mit dem nötigsten versorgen kann.

Der Empfang war sehr freundlich und der Check Inn war problemlos. Das Hotel machte einen gepflegten Eindruck und unser Zimmer war groß und sauber. Das kostenfreie WLAN funktionierte flott.

Bei unserer Ankunft war der Zimmersafe verschlossen. Wir hatten dann bei der Rezeption um Hilfe gebeten, die uns auch in kurzer Zeit versprochen wurde. Nachdem nach über einer halben Stunde keiner kam, haben wir selbst alle gängigen Kombinationen durchprobiert und konnten mit 2580 den Safe selbst öffnen.

Als wir am nächsten Tag aus der Stadt zurückkehrten war das Zimmer und unsere Betten nicht gemacht. Auf einem Zettel stand, dass unsere ""personal belongings"" angeblich im Weg waren. Auch das Bad wurde nicht gesäubert und die Handtücher wurden nicht gewechselt.

Das Frühstück war durchschnittlich und für ein Best Western enttäuschend. Für Fluggäste wird auch ein Shuttle zum Flughafen angeboten.

Ein sicherlich schönes Best Western mit gewissen Schwächen im Service.",2014-07-26 11:51:32,72,211.60779311955167
pVBwSCJDW59uf4OIz-dO7g,--2vR0DIsmQ6WfcSzKWigw,iqJ3t9iq0fsWaYL93s8Vmw,5.0,"Als wir in Philadelphia waren, haben wir auch noch einen Ausflug zur King of Prussia Mall unternommen. Angeblich das zweitgrößteEinkaufszentrum der USA, das sich im gleichnamigen Vorort King of Prussia, nordwestlich von Philadelphia in Pennsylvania befindet. Die King of Prussia Mall ist in zwei Teile aufgeteilt, der ""Plaza at King of Prussia"" und dem ""Court at King of Prussia"".

Neben den üblichen Geschäften, die man in jedem Einkaufszentrum der USA finden kann, sind hier auch noch höherpreisige Shops von Armani, Versace, Tiffany & Co., Cartier, Hermès und Louis Vuitton. Darüber hinaus sind noch die Kaufhäuser Bloomingdale's, Lord & Taylor, Neiman Marcus, Nordstrom, J. C. Penney, Macy's, Sears und Strawbridge's vertreten.

Im Einkaufszentrum findet man über 400 Geschäfte und Restaurants. Alles wirkt sehr gepflegt und wertig. Der Foodcourt lässt keine Wünsche offen. Während des Einkaufs kann man das kostenlose WLAN nutzen, das gut funktionierte.

Man muss allerdings sehr viel Zeit einplanen, um alle Geschäfte zu besuchen. Wir haben uns hauptsächlich auf die Lieblingsmarken unserer Kinder, Hollister, Abercrombie & Fitch konzentriert. Die Angebote in den Läden waren ordentlich, aber mit den Preisen in den Outlets nicht vergleichbar.

Ein wirklich schönes Einkaufszentrum, das von der Größe wirklich beeindruckt.",2014-07-28 10:49:48,68,211.60779311955167
c_DRiA8CPghSk8PR96K2Kg,--2vR0DIsmQ6WfcSzKWigw,krCwF4raTYvBcCEwcbA88Q,4.0,"Nach einem verunglückten Besuch der Germantown, haben wir den restlichen Nachmittag für einen Ausflug zur Franklin Mills Mall genutzt. Die Outlet Mall befindet sich im Nordosten von Philadelphia , Pennsylvania , an der Grenze von Bensalem in Bucks County.

Hier findet man 200 Ladengeschäfte, 2 Foodcourts, 7 Themenrestaurants und ein Kino. In der Mall befinden sich normale Geschäfte und auch Factory Stores. Unter anderem gibt es dort unter anderem den Tommy Hilfiger Company Store, Polo Ralph Lauren Factory Store, Levi's Outlet Store und für meine Mädels einen Victoria's Secret.

In der Mall wurde ein kostenloses WLAN angeboten, das aber nur leidlich funktionierte. Die Mall ist wirklich gigantisch groß, daher wurden die Geschäfte in 4 Neighborhoods eingeteilt, die auf dem Plan in verschiedenen Farben gekennzeichnet wurden.

Die Mall ist vollkommen geschlossen und machte einen sehr gepflegten Eindruck. Auf Kleidung zahlt man in Pennsylvania keine TAX. Sicherlich ein lohnendes Shoppingziel, wenn man mal in der Nähe ist.",2014-07-29 11:10:14,67,211.60779311955167
yUF1T08DTuAxt_J24pGr0g,--2vR0DIsmQ6WfcSzKWigw,6yR6piTIuUG_9P_ctivxKw,5.0,"In das Macy´s in Philadelphia sind wir nur durch einen Zufall reingegangen, da wir nach einer ausgiebigen Besichtigungstour bei drückender Nachmittagshitze ein wenig Abkühlung brauchten. Das Gebäude in der Market Street wirkt von außen wirklich beeindruckend und auch von innen wird man nicht enttäuscht.

Im Eingangsbereich fühlt es sich noch fast wie ein ganz normales Kaufhaus an. Aber auch hier fallen schon die tollen Stuckdecken, die mächtigen Säulen auf und man hat eher das Gefühl in einem Florentiner Palast zu sein. Das Gebäude ist das ehemalige Wanamakers Kaufhaus, das von Macy´s in 1995 übernommen wurde und ist wirklich ein architektonisches Meisterwerk..

Wenn man dann weiter in das Innere des Kaufhauses vordringt stößt man auf den Grand Court, der seinen Namen aufgrund der Größe zu Recht trägt. Einfach nur überwältigend und wir haben erstmal die Köpfe nach oben kreisen lassen. Irgendwie eine Mischung aus Opernhaus und Kirche, denn an einer Wand ist die riesige Wanamakers Pfeifenorgel angebracht. 

Der Grand Court soll auch über eine einzigartige Akustik verfügen. Jährlich findet hier die Macys Weihnachts Light Show statt, ein einzigartiges Licht- und Tonspektakel. Untermalt wird das ganze mit einer festlichen Beleuchtung des Grand Court und einem festlich geschmückten Weihnachtsbaum.

In der Mitte des Grand Court befindet sich dann auch noch der riesige Wanamaker Eagle. Die Bronzestatue soll 2.500 Pfund wiegen und wurde wie die Orgel 1904 von der St. Louis Weltausstellung erworben. Der Adler ist natürlich ein sehr begehrtes Fotoobjekt und fast jeder Tourist lässt sich mit ihm ablichten.

Eingekauft haben wir nichts, da wir nur Blicke für die einzigartige Architektur hatten. Ein wirklich sehenswertes Gebäude.",2014-11-07 09:49:15,76,211.60779311955167
-wGzE2pTOZY5SGsEewobaw,--2vR0DIsmQ6WfcSzKWigw,IBIp-yVFl2PxYS-rgc19Yg,5.0,"Wer Philadelphia besucht, um Amerikas historisch bedeutsamste Quadratmeile zu besuchen, sollte sich vorher im Visitor Center mit Informationsmaterial versorgen. Das Independence Visitor Center befindet sich in der 599 Market Street.

Das Center ist nur wenige Schritte von einigen der beliebtesten Attraktionen von Philadelphia entfernt, wie z.B. das Liberty Bell Center und der Independence Hall. Von außen sieht das Gebäude sehr modern aus und von innen ist es sehr hell und freundlich gestaltet.

Neben der kostenlosen Nutzung des WLAN gibt es hier auch einen Souvenirshop mit allerlei verschiedenen Nippes. Darüber hinaus kann man hier Tickets für über 60 Attraktionen und Touren buchen. Im Gebäude finden in den Räumlichkeiten und in der Lobby verschiedene Veranstaltungen statt.

In der Halle waren mehrere in alten Kostümen gekleidete Mitarbeiter des Visitor Centers, die mit den Kindern bastelten oder Fragen zur Geschichte der USA beantworteten. Im mittleren Bereich konnte man sich mit Snacks und Getränken versorgen, die man in der Cafeteria verzehren konnte.

Wir hatten hier zur Vorbereitung einen kleinen historischen Film geschaut und die sauberen Toiletten genutzt. Bewaffnet mit einer Umgebungskarte haben wir uns dann wieder auf den Weg gemacht. Ein wirklich schönes Besucherzentrum, das man uneingeschränkt empfehlen kann.",2015-02-02 05:25:46,107,211.60779311955167
COYGpgvfIxgpXS63KgnynA,--2vR0DIsmQ6WfcSzKWigw,kbEVlzQLcYS3JSQPG9QMOQ,4.0,"Wer sich im Independence Visitor Center mit Informationen versorgt hat braucht nur einmal über die Market Street und kann die erste Sehenswürdigkeit, das Liberty Bell Center besichtigen. Die Liberty Bell zählt mit der Independence Hall zum Weltkulturerbe der UNESCO. Eine Replik der Liberty Bell befindet sich im Liberty Bell Garden in Jerusalem.

Die Glocke wurde damals geläutet, als am 8. Juli 1776 die Amerikanische Unabhängigkeitserklärung auf dem Independence Square in Philadelphia verlesen wurde. Auf der Glocke befindet sich die Inschrift: ""Proclaim Liberty throughout all the land unto all the inhabitants thereof"" u
nd ist ein wichtiges amerikanisches Symbol für Freiheit und Demokratie.
Die Glocke wurde 1753 in der heutigen Independence Hall aufgehängt. Die Geschichte rund um die Glocke ist nicht eindeutig belegt sowie auch der Riss in der Glocke entstanden ist. Angeblich soll die Glocke im Jahr 1846 zum Geburtstag von George Washington zum letzten Mal geläutet haben, was aber wie viele andere Geschichten rund um die Glocke nicht belegbar ist.

Die Glocke kann man im Liberty Bell Pavillon besichtigen. Leider war die Schlange so groß, dass wir uns aus Zeitgründen mit einem Blick durch das Fenster begnügten. Die Geschichte der Glocke kann man im Gebäude in mehreren Sprachen (z.B. deutsch) nachlesen. 

Der Eintritt in den Pavillon ist frei. Die Sehenswürdigkeit gehört zum Independence National Historical Park von Philadelphia. Ein lohnenswertes Ziel bei einem Besuch in Philadelphia.",2015-02-03 05:22:36,110,211.60779311955167
-xOAGPLQ6hQI5jcUz9-2bw,--2vR0DIsmQ6WfcSzKWigw,nk7fI9Vj7L-kKdXOB7cKIw,5.0,"Auf unserem Spaziergang durch das historische Philadelphia haben wir auch das Irish Memorial gestreift. Es befindet sich nur unweit vom Delaware River und von Penns Landing über der I95 in einem Park.

Das Denkmal ist etwa 12 Meter hoch, 30 Meter lang und 12 Meter breit und befindet sich auf einem gewaltigen Granitsockel. Die 35 lebensgroßen Skulpturen sollen den Hunger und das Leid in Irland darstellen. Am östlichen unteren Ende des Memorials wird das harte Leben und die Armut in Irland gezeigt. Von der anderen Seite erkennt man ein Schiff mit Kurs auf Amerika.

Folgende Inschrift von Peter Qinn kann man lesen:

The hunger ended but it never went away. It was there in silent memories from one generation to the next.

The time to take away the silence has come, to commemorate, to mourne what was lost, to celebrate what survives - without apology or fear.

We have it in our power not only to remember what took place but to relive it ... To find in the hungry and lost, not a different race ... but the faces of our ancestors ... An image of ourselves.

Zum 150 Jahrestag der großen Hungersnot in Irland wurde dieses Denkmal von Glenna Goodacre erschaffen. Mehr als 1 Million Iren sind damals gestorben. Aber auch an die vielen Toten, die auf verseuchten Schiffen gestorben sind, soll hier gedacht werden.

Auf vielen Schautafeln kann man die Geschichte rund um die historische Hungerkatastrophe nachlesen. Ein wirklich sehenswertes Denkmal.",2015-02-05 05:09:37,107,211.60779311955167
c2GD0bJNCy9K7-bOFa3V0g,--2vR0DIsmQ6WfcSzKWigw,3woevNT4gDDZWTFf94qlCg,4.0,"Eine beliebte Sehenswürdigkeit in Philadelphia ist eine kleine Gasse aus dem Jahre 1702. Die Elfreths Alley als älteste Wohnstraße der  Nation hat Dank der Denkmalpflege seit 2012 insgesamt 32 restaurierte Häuser die ursprünglich zwischen 1728 und 1836 gebaut wurden.

Die Gasse wird als ""National Historic Landmark"" geführt und ist zwischen North 2nd Street und North Front Street zu finden. Die Straße ist nach dem damals im 18. Jahrhundert dort lebenden Schmied Jeremiah Elfreth benannt. Die Bewohner der Gasse waren hauptsächlich Handwerker und arbeiteten als Schiffbauer , Silber- und Zinnschmiede , Glasbläser und Möbelbauer.

Zwischenzeitlich gab es im späten 19. und frühen 20. Jahrhundert hier im Rahmen der Industrialisierung eine Ofenfabrik. Zu dieser Zeit bestand die Bevölkerung hier hauptsächlich aus Iren. Die im Jahr 1934 gegründete Elfreths Alley Association (EAA) hat danach mit erfolgreicher Lobbyarbeit für den Erhalt der Straße gekämpft.

Die Häuser in Verbindung mit dem Kopfsteinpflaster sind wirklich hübsch anzusehen. Am ersten Wochenende im Juni und Dezember sind einige der Gebäude öffentlich zugänglich. In den Häuser Nr. 124 und Nr. 126 kann das Elfreth's Alley Museum besichtigt werden. Hier kann man auch eine geführte Tour durch die historische Gasse buchen.

Eine sehr nette Sehenswürdigkeit in Philadelphia, die in keinem Besichtigungsprogramm fehlen darf.",2015-02-06 05:20:03,107,211.60779311955167
20yV8ZHsPYudjYNfQOhAHg,--2vR0DIsmQ6WfcSzKWigw,Q2PsfIw2sPKNlkR-0sQBpw,4.0,"Eines der meistbesuchten touristischen Ziele in Philadelphia ist sicherlich das Betsy Ross House. Hier lebte die bekannteste Näherin der Vereinigten Staaten.

Nach einer Legende soll Betsy Ross mit ihren Kindern die erste Flagge der USA genäht und diese George Washington präsentiert haben. Die erste Flagge der USA hatte 13 Sterne und 13 Streifen, die jeweils eine der 13 Kolonien darstellte. Keiner kann aber wirklich nachweislich sagen, ob sich die Geschichte auch wirklich so zugetragen hat.

Betsy wurde als achtes von siebzehn Kindern der Quäkerfamilie Samuel und Rebecca geboren. Ihre sterblichen Überreste sollen sich auf dem Hof des Betsy-Ross-House im Schatten der großen Ulme befinden.

Man hat hier die Möglichkeit, das im Jahre 1740 gebaute Haus von Betsy Ross, mit seinen vielen kleinen Zimmern und engen Treppen zu besichtigen. Man bekommt hier einen guten Einblick in das frühere Leben. Darüber hinaus gibt es noch einen kleinen Souveniershop und man kleinere Snacks und Getränke kaufen. Im kleinen Innenhof finden auch häufig Veranstaltungen statt.

Der Eintritt beträgt für Erwachsene 5$ und für Kinder 4$, sowie 2$ für die optionale Audio-Tour. Das Betsy Ross House hat von April bis November täglich geöffnet. In den übrigen Monaten sind die Besichtigungszeiten eingeschränkt. Ein wirklich netter historischer Ort.",2015-02-07 05:54:24,97,211.60779311955167
q6Gut2veGoApGM--vUXiOw,--2vR0DIsmQ6WfcSzKWigw,6RUY3l7pQKk1HhM3uwGQSA,4.0,"Aufgrund der günstigen Parkplätze sind wir auch in der Philadelphia Chinatown (费城华埠) gelandet. Diese wird, wie viele andere Chinatowns in amerikanischen Großstädten, vorwiegend von Asiaten bewohnt.

Die Chinatown erstreckt sich über das Gebiet von der Vine Street im Norden bis zur Arch Street im Süden und von der North Franklin Street und North 17th Street im Osten bis zur Nord Broad Street im Westen. Entstanden ist sie in der Mitte des 19. Jahrhunderts als kantonesische Einwanderer in Philadelphia Wäschereien und Restaurants gründeten. In jüngeren Jahren kamen andere Immigranten aus ostasiatischen Ländern wie Korea , Thailand und Vietnam hinzu.

Die imposanteste Sehenswürdigkeit ist die 40 Meter hohe Chinatown Friendship Gate das als Symbol für den kulturellen Austausch und die Freundschaft zwischen Philadelphia und seiner chinesischen Partnerstadt Tianjin gebaut wurde. Das Tor wurde am 31. Januar 1984 eingeweiht.

In der Chinatown kann man eine große Anzahl von Restaurants mit ostasiatischer, kantonesischer, taiwanesischer, birmanischer, japanischer, koreanischer und vietnamesischer Küche finden und ein Dutzend verschiedener Hong Kong-Style Bäckereien.

Ansonsten fand ich die Philadelphia Chinatown nicht so interessant. Als Ausgangspunkt zur Besichtigung der Stadt fand ich es dort aber ideal, denn man ist relativ rasch fußläufig in der Market Street. Wer früh morgens dran ist, wird bei vielen Parkplätzen in der Chinatown mit einem Early Bird Angebot belohnt.",2015-02-08 06:09:21,100,211.60779311955167
BCFTR4R5oKAJL949CHnnkA,--2vR0DIsmQ6WfcSzKWigw,YHau-ky1o9hm1jare21Syw,5.0,"Im Altstadtviertel von Philadelphia zwischen Markt und Arch Street befindet sich die Christ Church. Sie ist die erste Episkopalkirche in den Vereinigten Staaten und wurde 1695 gegründet. Mehr als ein Viertel aller Präsidenten der USA waren Mitglieder der Episkopalkirche.

Zunächst befand sich auf dem Gelände eine kleine Holzkirche. Die neue Kirche wurde dann zwischen 1727 und 1744 gebaut und der 60 Meter hohe Turm wurde 1754 hinzugefügt. Zu dieser Zeit war die Kirche das höchste Gebäude in Nordamerika und ein tolles Beispiel für die georgianische Architektur.

Die Kirche verfügt über eine symmetrische, klassische Fassade mit Rundbogenfenstern und einem einfachen, aber elegant wirkenden Interieur mit kannelierten Säulen und Holzbänken. Das Taufbecken, in dem William Penn damals getauft wurde, ist noch heute im Einsatz.

Im angrenzenden Friedhof haben viele bedeutende Persönlichkeiten ihre letzte Ruhe gefunden. Im nahe gelegenen Christ Church Burial Ground sind Benjamin Franklin und fünf Unterzeichner der Unabhängigkeitserklärung der Vereinigten Staaten begraben.

Die Christ Church wird als National Historic Landmark geführt und ist eine einzigartige historische Stätte. Mehr als 250.000 Touristen besuchen die Kirche jedes Jahr. Ein wirklich lohnenswertes Besichtigungsziel.",2015-02-09 06:46:30,99,211.60779311955167
0kyYErBs4vLbm0YLCJuXlA,--2vR0DIsmQ6WfcSzKWigw,SSo_kSAbaLtOMhSa2jneXw,4.0,"Auf unserem Wege durch die historische Altstadt von Philadelphia sind wir auf das Arch Street Meeting House gestoßen. Es ist ein Haus der Begegnung der religiösen Gemeinschaft und für die Freunde der Quäker.

Auf dem Grundstück, auf dem das Gemeindehaus gebaut wurde, befand sich der erste Friedhof der Quäker in Philadelphia. Hier fanden Beerdigungen bereits seit dem Jahre 1683 statt. Der Ostflügel und das Zentrum des Gemeindehauses wurden zwischen 1803 und 1805 nach einem Entwurf von Owen Biddle, Jr. erbaut. Das Gebäude wurde von 1810 bis 1811 nochmals erweitert,

Von außen sieht das Gebäude recht unscheinbar aus und nur durch die Schilder sind wir aufmerksam geworden. Beim Betreten des Gebäudes wurden wir sehr freundlich von einer Dame begrüßt, die uns mit hilfreichen Informationen versorgt hat. Danach konnten wir sehr entspannt die öffentlich zugänglichen Räume und die kleine Ausstellung besichtigen.

Genauso einfach wie von draußen wirkt auch das Innere des Gebäudes. Ein Beispiel für die Einfachheit und Schlichtheit der Quäker ist der Saal, in dem die Gottesdienste stattfinden. Irgendwie sympathisch, dass man hier auf jeglichen Prunk verzichtet hat.

Das Arch Street Meeting House ist auch im US National Register of Historic Places verzeichnet und als US National Historic Landmark aufgenommen. Sicherlich ein schöner Anlass sich mit der Geschichte der Quäker zu beschäftigen.",2015-02-12 05:14:49,108,211.60779311955167
IaPHgpzRQWShU3dC_wU9Xw,--2vR0DIsmQ6WfcSzKWigw,2Z0Clt72JFouB0qkMC2mig,5.0,"Ein wirklich sehenswerter Garten ist sicherlich der 18th Century Garden auf der Nordseite der Walnut Street zwischen 3. und 4. Street. Er ist Bestandteil des Independence National Historical Park.

Dieser Garten ist ein gutes Beispiel für den europäischen geometrischen Gartenstil und erinnert an einen aus dem 18. Jahrhundert stammenden formalen englischen Garten. Die dort gepflanzten Bäume Sträucher und Blumen sind von der Art, wie sie auch im 18. Jahrhundert verwendet wurden.

Der Garten ist in drei Teile aufgeteilt, einem Obstgarten, einem formalen Garten und einem Bereich für Kräuter und Gemüse. Der formale Garten ist mit Blumen der Saison gestaltet und einer Reihe von kleinen Obstbäumen.

Die Laubengänge mit den Weinpflanzen sind sehr schön anzusehen. Wir hatten es uns im Schatten der Pergola für ein Päuschen bequem gemacht, um diesen kleinen schönen Garten auf uns wirken zu lassen. 

Der 18th Century Garden liegt neben dem Todd House und südlich von der Carpenters Hall. Der Eintritt ist frei. Ein wirklich schöner und bemerkenswerter kleiner Garten.",2015-02-13 05:13:26,119,211.60779311955167
S5-N1Zd7ch2Vow59QWwfnw,--2vR0DIsmQ6WfcSzKWigw,Mkr1Bm0SFo51L5-swly0bw,5.0,"Auf unserem Weg durch die Altstadt von Philadelphia sind wir auf einen kleinen Park mit einer ungewöhnlichen Statue gestoßen. Es ist die sogenannte Signer Statue.

Die Statue ist all denen gewidmet, die ihr Leben für die amerikanische Freiheit eingesetzt haben. In seiner Hand hält der Signer die Gründungsurkunde in den Himmel. Die Inspiration zu dieser Statue hat George Clymer gegeben, der Unterzeichner sowohl der Unabhängigkeitserklärung und der Verfassung der Vereinigten Staaten war.

Während viele Statuen eher langweilig und staatsmännisch wirken, vermittelt dieses Kunstwerk eine gewisse Energie. Die Statue ist 9-1 / 2 Meter hoch, aus Bronze und steht auf einem 6-Fuß Granitsockel.

Zu finden ist das Kunstwerk an der Ecke der 5. und Chestnut Sreet im Signers Garden.",2015-02-14 06:26:02,110,211.60779311955167
NZmoh-ZvUCL9Pbn8nnTcvw,--2vR0DIsmQ6WfcSzKWigw,tYJBFNJckCFiflhRLJnLjw,5.0,"An der Chestnut Street kann man eine weitere Attraktion des Independence National Historical Park im Zentrum von Philadelphia finden. Die Old City Hall, die sich neben der Independence Hall und gegenüber vom Liberty Bell Center befindet.

Das Gebäude wurde von 1790 bis 1791 vom Architekten David Evans, Jr. gebaut. Es war ursprünglich als Rathaus geplant, diente aber bis zum Jahre 1800 als Heimat für den Obersten Gerichtshof (Supreme Court) der USA. Von 1790 bis 1800 war Philadelphia die Hauptstadt der Vereinigten Staaten. Anschließend wurde es bis zum Jahre 1854 als Rathaus genutzt.

Im Inneren kann man einen Blick in den historischen Gerichtssaal werfen, der sehr gut erhalten ist. Das erhöhte Richterpodest, der Zeugenstand, die Zuschauerbänke, die Gerichtsschreiber und alle anderen Möbel sind vorhanden.

In der Lobby gibt es noch einen Souvenirshop, wo man noch eine Miniatur der Liberty Bell erstehen kann. An der Wand ein Satz von Alexis de Tocqueville: ""I am unaware that any Nation of the globe has hitherto organized a judicial power in the same manner as the American"".

Das Gebude kann täglich von 09.00 - 17.00 Uhr besichtigt werden. Der Eintritt ist frei.",2015-02-16 05:02:32,114,211.60779311955167
QeQ_7auUrIA7ACm9Pvt3qQ,--2vR0DIsmQ6WfcSzKWigw,Ib9HV7ekw459jM1Ksdiyiw,5.0,"Eine der wichtigsten Sehenswürdigkeiten in Philadelphia ist sicherlich die Independence Hall, dem Ort der Unabhängigkeitserklärung. Sie ziert auch die Rückseite des 100-Dollar-Scheins.

Wir hatten uns gleich morgens Karten für die Führung besorgt. Zur Besichtigung muss man allerdings eine Sicherheitskontrolle passieren. Wer eine schwache Blase hat, sollte vor der Kontrolle noch die Toilette aufsuchen. Der Mitarbeiter des National Park Service hat die Besichtigung professionell durchgeführt und sehr viel wissenswertes erzählt.

Das Gebäude wurde im Jahre 1741 als Pennsylvania State House in Philadelphia errichtet. Damals war Pennsylvania noch die dreizehnte britische Kolonie Nordamerikas. Erst im Jahr 1775 wurde dann aus dem ehemaligen Pennsylvania State House die Independence Hall. 

Die von Thomas Jefferson geschriebene Unabhängigkeitserklärung wurde 1776  hier vom zweiten Kontinentalkongress in der Hall unterzeichnet. 1787 wurde hier die Verfassung der Vereinigten Staaten vom Kongress ausgerufen.

Von 1753 bis 1876 befand sich noch die Liberty Bell im Glockenturm der Independence Hall, die als Zeichen der Unabhängigkeit seinerzeit geläutet wurde. Die Independence Hall ist auch ein Teil des Independence National Historical Parks. Eine Besichtigung ist absolut empfehlenswert.",2015-02-17 05:23:38,112,211.60779311955167
